name,city,country,latitude,longitude,iata,icao
Afonso Pena,Sao Jose Dos Pinhais,Brasil,-25.5327,-49.1725,CWB,SBCT
Salgado Filho,Porto Alegre,Brasil,-29.9935,-51.1754,POA,SBPA
Miami,Miami,Estados Unidos,25.79587,-80.287,MIA,KMIA
Presidente Juscelino Kubitschek,Brasilia,Brasil,-15.8697,-47.9172,BSB,SBBR
Deputado Luis Eduardo Magalhaes,Salvador,Brasil,-12.9111,-38.3312,SSA,SBSV
Guarulhos - Governador Andre Franco Montoro,Guarulhos,Brasil,-23.4346,-46.4781,GRU,SBGR
Guararapes - Gilberto Freyre,Recife,Brasil,-8.12593,-34.924,REC,SBRF
Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,Brasil,-22.8134,-43.2494,GIG,SBGL
New York,New York,Estados Unidos,40.64131,-73.7781,JFK,KJFK
Eduardo Gomes,Manaus,Brasil,-3.03585,-60.0463,MAO,SBEG
Tancredo Neves,Confins,Brasil,-19.6341,-43.9654,CNF,SBCF
Viracopos,Campinas,Brasil,-23.0082,-47.1376,VCP,SBKP
Toronto,Toronto,Canada,43.67772,-79.6248,YYZ,CYYZ
Madrid,Madrid,Espanha,40.48394,-3.56795,MAD,LEMD
Paris,Paris,Franca,49.00969,2.547925,CDG,LFPG
Bogota,Bogota,Colombia,4.701413,-74.1445,BOG,SKBO
Buenos Aires,Buenos Aires,Argentina,-34.815,-58.5348,EZE,SAEZ
Buenos Aires/Aeroparque,Buenos Aires,Argentina,-34.8167,-58.5368,AEP,SABE
Hercilio Luz,Florianopolis,Brasil,-27.6701,-48.546,FLN,SBFL
Porto Seguro,Porto Seguro,Brasil,-16.4395,-39.0821,BPS,SBPS
Roma,Roma,Italia,41.79905,12.59298,FCO,LIRF
Santos Dumont,Rio De Janeiro,Brasil,-22.9111,-43.1649,SDU,SBRJ
Eurico De Aguiar Salles,Vitoria,Brasil,-20.2576,-40.2835,VIX,SBVT
Leite Lopes,Ribeirao Preto,Brasil,-21.1348,-47.7752,RAO,SBRP
Altamira,Altamira,Brasil,-3.25357,-52.2491,ATM,SBAT
Val De Cans,Belem,Brasil,-1.38206,-48.4775,BEL,SBBE
Marechal Rondon,Varzea Grande,Brasil,-15.6531,-56.1173,CGB,SBCY
Pampulha - Carlos Drummond De Andrade,Belo Horizonte,Brasil,-19.8498,-43.9549,PLU,SBBH
Zumbi Dos Palmares,Rio Largo,Brasil,-9.51161,-35.7929,MCZ,SBMO
Prefeito Renato Moreira,Imperatriz,Brasil,-5.53169,-47.4561,IMP,SBIZ
Governador Aluizio Alves,Natal,Brasil,-5.76837,-35.3674,NAT,SBSG
